구분	이름	이명	영문	시작지점	시작자원	모티프	설정	원래 운명	숨겨진 과거	과거의 단서	가능한 각성 능력
플레이어	그레이스	대해적	Grace	동부 바다 위	금화 3, 매력 2	그레이스 오말리 (Grace O'Malley)		그녀는 대상(大商)이자 대해적으로 동부 바다에서 명성을 떨치고 있었다. 변덕이 심했던 그녀는 아카데미로의 위장입학을 결정한다. 남주들에게 반해 미래의 신랑감을 고민하던 와중, 그곳에서 어느 날 황가와 교회의 치부를 드러내는 증거를 입수하게 된다. 그 사실을 알아차린 황가와 교회는 그녀에게 대륙공적선언 및 척살령을 내리게 되고, 주인공 일행에게 처단당하게 된다.	그녀는 누구로부터 태어났는지 스스로 모르고 있었지만, 인어의 후손이다. 그녀의 조상은 전설적인 세이렌으로 뭇 사람들을 바다에 빠뜨렸으며, 그 때문에 용사일행에게 영원의 관에 봉인되게 된다. 봉인되기 전 그녀는 12명의 자식을 두었으며, 누군가는 죽고 누군가는 살아남았다. 그렇게 시간이 지나 인어의 피가 옅어질 때쯤, 인어의 비늘 혹은 영원의 관을 접하면 기억이 밀려들고 격세유전으로 인어여왕의 피를 각성하게 된다. 비록 세이렌처럼 사람을 유혹하여 바다에 빠뜨릴 수는 없지만, 돈을 이용해 "모든지" 사고팔 수 있는 능력을 갖게 된다.	· "이교의 계약서"\n· "용사전기"\n· "영원의 관"\n· "인어의비늘"	· 일반 각성 능력 전부
플레이어	데이지	어둠의 시녀	Daisy	동부	금화 1, 매력 1, 어둠 2	데이지 벨 (Daisy Bell)		제국의 장미 - 메살리나의 수족으로 활동하며 수많은 더러운 건을 처리하다가 주인공 일행에게 죽게 된다.	그녀의 피에는 반물질유전공학을 통해 고통받았던 선조의 아픔이 담겨 있다. 실험실에서 도망쳐 나온 한 쌍의 소년소녀는 머릿속 칩에 입력되어 있던 유일한 노래를 부르며 소녀의 이름을 데이지로, 소년의 이름을 벨로 지었다. 그들은 죽음을 맞이할 때 뇌속의 칩을 꺼내 자손에게 건네주며, 모든 자손의 이름을 여자면 데이지, 남자면 벨이라 짓도록 유언을 남겼다. 많은 전승이 유실되었지만 놀랍게도 그들의 이름만큼은 이어져 내려온 것이다.\n이들의 어둠친화적인 특성을 이교도의 증표로 여긴 교회는 그들의 마을 주민들을 아이들을 제외하고 몰살했고, 아이들은 여러 교회지부로 보내졌다. 데이지에게는 태어나자마자 생이별한 오빠가 있다. 오빠는 여동생을 돌려받기 위해 암살자로 이용당하다 죽었지만, 데이지는 아직 오빠의 존재조차 모르고 있다.	· "메모리 칩"\n· "벨의 단검" ('내 사랑하는 여동생 데이지를 생각하며'가 각인된 단검)\n· "교회 7094지부의 인명부"\n· "교황칙서 (말살 - HAL, ZEN 이 적혀있음)"	· 일반 각성 능력 전부
플레이어	마리	부두술사	Marie	서부	금화 1, 매력 1, 독 2	마리 라보 (Marie Laveau)		서부의 독술사로 유명했던 그녀는 서부의 꽃 - 로욱시나와 비밀리에 거래관계를 이어나가다 배신을 당하고 성왕국의 이단심문관에게 쫓기게 된다. 아카데미에 숨어들었지만, 곧 주인공과 교황의 아들에게 발각되어 죽음을 맞이하게 된다.	그녀는 데이지와 같은 교회 7094지부 출신이었다. 그녀가 다른 아이들과 달랐던 점은 동부 황가의 사생아였다는 점. 인명부에서도 특별관리대상으로 지정되어 있었으며, 본래 그녀는 정치적 도구로 이용되어 연명할 운명이었다. 7094지부가 사라지기 전 교회원장은 그녀를 급하게 서부로 피신시켰으나, 밀입국 과정에서 서부의 꽃 - 로욱시나에게 들키게 되고 정신개조를 당한 뒤 숲 속에 버려지게 된다. 그녀는 기억이 없었기 때문에 스스로 인지하지 못하는 사이에 로욱시나를 항상 돕고 있었고 함정에 빠지게 된다.	· "황가의 팬던트"\n· "벨의 단검"\n· "교회 7094지부의 인명부"\n· "약간 남은 망각포션"	· 일반 각성 능력 전부
플레이어	미호	마력없는 마법사	Miho	중부	금화 1, 매력 2, 마법 2	구미호		중앙 마탑에서 차별받던 그녀는 북부의 마녀 - 이제벨의 유혹에 넘어가 금단의 마법에 대한 지식을 익히게 되고, 마탑은 그녀에게 척살령을 내린다. 부상을 입고 도망치던 미호는 주인공 일행과 마주하게 되고, 결국 토벌당한다.	사실 미호는 반인반요 여우요괴였으며, 체질적으로 마력 대신 요력을 운용할 수 있다.	· "요마변환기"\n· "호요족의 기록"\n· "용사전기"\n· "백요잡서"	· 일반 각성 능력 전부
플레이어	바토리	잊혀진 진조	Bathory	북부	매력 2, 선혈 2	바토리 에르제베트 (Báthory Erzsébet)		북부의 차가운 관 속에서 홀로 깨어난 바토리는 북부의 마녀 - 이제벨의 꾀임에 넘어가 뭇 사람들을 학살하게 된다. 스토리의 후반부에 주인공과 함께 온 북부대공의 첫째 공자에게 죽음을 맞이하고 만다.	대륙에 악명을 떨치던 진조의 여왕 본인. 수많은 인간들을 학살하며 격을 올렸다. 이치를 깨닫고 승천을 준비하던 중 용사에게 토벌당해 영원의 관에 봉인당하게 된다. 봉인 직전 그녀는 불사의 술을 시전했고, 해당 술법이 활성화된 채 수천 년의 시간이 흘렀다. 북부의 마녀 - 이제벨은 진조의 전승을 접하고 그녀를 깨웠으나, 영혼이 마모된 그녀는 기억이 온전치 못했다.	· "진조의 전승"\n· "용사전기"\n· "백요잡서"\n· "영원의 관"	· 일반 각성 능력 전부
플레이어	샬롯	동부의 꽃	Charlotte	중부	금화 2, 매력 3	조피 샤를로테 공녀 (Sophie Charlotte)		아카데미에서 마주친 주인공 잔느를 천한 것이라 괴롭힌다. 잔느가 남주와 일정 관계 이상이 되는 순간, 선을 넘어 황실을 모독하게 되고 이로 인해 처형당한다.	사실은 적녀가 아니라 서녀였고, 그녀를 낳은 어머니는 그녀의 유모였다. 그래서 황실모독죄로 회부되었을 때도 가문에서 지켜주기보다 파문시킨 것. 유모인 그녀의 어머니는 본래 황가 핏줄이었으며, 폐위된 태자의 여동생이어서 공작가에 숨어서 지냈다.	· "유모의 일기"\n· "황가의 팬던트"\n· "양녀증서"\n· "폐태자의 편지"	· 일반 각성 능력 전부
플레이어	이레네	성녀후보	Irene	중부	신성 2, 매력 1	이레네 (Irene)		그녀는 어렸을 적 악마숭배자들에게 마을을 공격받았고 교회에게 구원받았다. 수녀원에서 신성력을 각성했고 교회는 이를 달갑게 여긴다. 교회는 루크레치아의 전담 성직자로 그녀를 파견하며, 그녀의 부탁을 가능한 한 들어주라는 명령을 내린다. 그녀는 그 역할을 충실히 이행하다 황태자의 동생의 두 눈을 뽑는 악행을 저지르게 되는데, 이에 분노한 주인공 일행에게 죽음을 맞이하게 된다.	그녀는 사실 메살리나 - 루크레치아 거래의 희생자다. 그녀가 머물던 마을은 제노비아가 머물던 동남부의 한적한 마을 옆 마을이었고, 흥분한 악마숭배자들에 의해 표적이 된 것이다. 그녀의 아버지는 신성교회의 추기경이었으며 시골의 아낙네와 결혼해 파문을 당했다. 어떤 사실도 모른 채 이레네는 다시 교회로 돌아간 것이다.	· "이교의 계약서"\n· "교황칙서 (말살 - HAL, ZEN 이 적혀있음)"\n· "폐태자의 편지"\n· "추기경서임서"	· 일반 각성 능력 전부
플레이어	제노비아	전처녀	Zenobia	남부	금화 1, 검 2	제노비아 여왕 (Queen Zenobia)		남부의 이교도 척살자로 유명했던 그녀는 광신도에게 오른쪽 얼굴에 화상을 입은 후 웃음을 잃었다. 교회의 사냥개가 되어 반인륜적인 짓도 서슴지 않던 그녀는 스토리 후반부에 주인공 일행에게 토벌되고 만다.	그녀는 본래 동부제국의 황녀다. 황실 내에서 발언권이 낮아져 위험해진 황후는 대륙 동남부의 한적한 마을로 숨어 그녀를 홀로 키웠다. 그러나 이 사실을 알게 된 제국의 장미 - 메살리나의 음모로 악마숭배자의 딸이라는 낙인이 찍히며 기록말살형에 처해진다. 놀랍게도 황후와 그녀의 딸인 제노비아는 악마숭배자들의 먹이로 던져지게 된다.\n악마숭배자들에게 쫓기던 제노비아는 남부의 보석 - 루크레치아를 만나 그녀의 도움으로 남부에 정착하게 된다. 사실 이조차도 루크레치아가 후에 메살리나를 곤란하게 만들 심산으로 몰래 빼돌린 것이었다. 검에 재능이 있던 그녀는 교회성기사단에 들어갔고, 순식간에 성기사단장을 쟁취한다. 그러나 악마숭배자들에게 깊은 증오를 품고 있는 그녀는 교회의 어둠이 되기를 자처했고, 교회가 점찍은 곳이라면 무자비한 학살을 행했다. 물론 루크레치아의 부탁도 꼬박꼬박 들어주고 있다.	· "황가의 팬던트"\n· "폐태자의 편지"\n· "이교의 계약서"\n· "교황칙서 (말살 - HAL, ZEN 이 적혀있음)"	· 일반 각성 능력 전부
남주	가이우스 프린켑스 투리누스		Gaius Princeps Thurinus	동부		아우구스투스 (Augustus)	· 동부 제국의 황태자, 첫째.\n· 제국 정통 후계자 포지션의 로판 스타일 남주.				
남주	알렉		Alec	서부		알렉산더 대왕 (Alexander the Great)	· 끊임없는 전투가 일어나는 서부의 패자.\n· 정복자 기질의 야성적인 로판 스타일 남주.				
