번호	이름	유형	효과	플레이버	그 밖
1	선혈의 비	국지	발동 시 주사위를 굴려 나온 눈에 해당하는 지역에 선혈의 비 토큰을 놓는다. 토큰은 게임 종료까지 그대로 유지되며, 매 막 종료 시 그 지역의 플레이어 캐릭터는 핏물에 젖은 능력 카드 1장을 버린다.\n| 눈 | 1 | 2 | 3 | 4 | 5 | 6 |\n| --- | --- | --- | --- | --- | --- | --- |\n| 지역 | 동 | 서 | 남 | 북 | 중부(아카데미+마탑) | 동쪽 바다 |	피비린내가 나는군…	상호작용: 혈술사/진조(바토리) 등 선혈 계열 각성자는 선혈의 비의 효과를 받지 않는다. 오히려 그 지역에 있으면 혈술사는 능력 카드 1장, 진조는 능력 카드 2장을 얻는다.
2	칼날 비	전역	동·서·남·북과 아카데미(중부)에 칼날 비가 쏟아진다(동부 바다·극동 제외). 해당 지역의 플레이어는 모든 물건 카드를 잃거나, 두근! 포인트를 1 잃는다(택1).	수천, 아니 수만 개의 검이 떨어진다.	상호작용: 소드마스터는 칼날을 모두 쳐내 아무런 피해를 받지 않는다. 검성(제노비아)은 오히려 깨달음을 얻어 능력 카드 5장을 얻는다. (superpowers/overall.md 참고)
3	돌림병	확산	역병이 한 지역에서 시작되어 전염병 토큰으로 표시한다. 시작 지역은 발동 시점 그 막에서 제일 마지막 차례였던 악령이 결정한다. 이후 매 막 종료 시 이웃 지역 한 곳으로 확산되며, 확산 방향 역시 그 막에서 제일 마지막 차례였던 악령이 결정한다. 동부 바다·극동의 섬으로는 퍼지지 않는다. 감염 지역의 플레이어 캐릭터는 자기 턴에 행동을 1개만 할 수 있다(빈사에 준함).	콜록콜록… 이거 낫는 거 맞죠?	정화: 빛의 사제/성녀(이레네)는 감염 지역에서 행동 1개를 써서 그 지역을 정화하고 금화 2개를 얻는다. 정화된 지역은 이후 다시 돌림병이 돌지 않는다.\n상호작용: 빛의 사제는 돌림병의 영향을 받지만, 성녀는 영향을 받지 않는다(면역).
4	흑암	전역	세상이 어둠에 잠긴다. 재앙이 유지되는 동안 이동·탐색이 불가능하다.	태양은 삼켜지고, 어둠이 내려앉았다.	지속: 고정 막 수가 아니라 해제될 때까지 계속된다.\n해제: 다음 중 하나. 신성 카드는 어둠을 걷어낼 제물로 태워 바친다.\n- 아무 플레이어나 신성 카드 5장을 희생\n- 빛의 사제가 신성 카드 3장을 희생\n- 성녀(이레네)가 액션 2개를 사용\n- → 흑암을 걷어낸 플레이어는 보상으로 금화 2장을 얻는다. (두근! 포인트는 회복 불가 자원이므로 지급하지 않는다 — tokens.md 참고)\n상호작용: 마리오네트로 각성한 플레이어는 흑암의 영향을 받지 않는다(이동·탐색 가능).
5	마력폭발	전역	마나가 통제를 잃고 폭주한다. 마법 카드를 손에 가진 플레이어 및 마도사 각성자는 가진 마법 카드를 모두 버리고 두근! 포인트를 1 잃는다.	마력은 폭발이다!	상호작용: 미호는 마력이 아닌 요력을 다루므로, 요술사로 각성한 경우 이 재앙의 폭발 피해를 입지 않는다. *(설계 노트: 요력 면역은 미호 콘셉트와 직결)*
6	초태 몰살	전역	장자(첫째)로 태어난 자는 확정으로 죽는다. 첫째 속성을 가진 캐릭터(남주 지크프리트·조반니·가이우스 등)가 즉시 제거되며, 해당 남주와 진행 중이던 만남/약혼 루트는 봉쇄된다.	모든 장자의 숨이 멎는다.	상호작용/대응: 자신과 약혼한 남주에 한해 두근! 포인트 2를 지불하면 죽음에서 보호할 수 있다(그 약혼 루트는 유지). 아직 약혼하지 않은 남주는 보호할 수 없다.
7	마수폭주	국지	발동 시 주사위를 굴려 나온 눈에 해당하는 지역(선혈의 비와 동일 표)에 개구리 마수를 필두로 마수들이 창궐한다. 재앙이 유지되는 동안, 그 지역의 플레이어는 매 막 종료 시 검 또는 마법 카드 1장을 사용해 마수를 상대해야 한다. 검·마법 카드가 없으면 무조건 두근! 포인트를 1 잃는다.\n| 눈 | 1 | 2 | 3 | 4 | 5 | 6 |\n| --- | --- | --- | --- | --- | --- | --- |\n| 지역 | 동 | 서 | 남 | 북 | 중부(아카데미+마탑) | 동쪽 바다 |	개굴, 개굴	상호작용/대응: \n- 소드마스터는 검 카드가 없어도 패널티를 받지 않는다.\n- 마도사는 마법 카드가 없어도 패널티를 받지 않는다.\n- 요술사/검성은 액션 2개를 써서 마수를 완전히 처치할 수 있으며(재앙 해제), 처치 시 금화 3개를 얻는다.\n해제: 지역을 벗어나면 회피할 수 있고, 지속 막이 끝나거나 요술사·검성이 처치하면 소멸한다.
8	파리	이동	언데드가 일어서고 파리 떼가 대지를 옮겨 다니며 들끓는다. 파리 떼 토큰이 놓인 지역의 플레이어는 매 막 시작 시 부패·질병 피해로 물건 카드 1장을 버린다. 신성 카드 1장을 소모하면 그 막의 피해를 무효화한다. 파리 떼는 사라지지 않고 게임 종료까지 지속된다(해제 조건 없음).	썩은 냄새와 함께 죽은 자들이 일어서고, 하늘이 새까맣게 뒤덮인다. (성경 네 번째 재앙 — 파리 떼)	이동: 재앙 발동 시 즉시 주사위를 굴려 첫 위치를 정한다(첫 굴림에서 6이 나오면 재굴림해 1~5 지역 중 하나에 놓는다). 이후 매 막이 끝날 때 그 막의 마지막 플레이어가 주사위를 굴려 나온 눈에 따라 파리 떼 토큰을 재배치한다.\n| 눈 | 1 | 2 | 3 | 4 | 5 | 6 |\n| --- | --- | --- | --- | --- | --- | --- |\n| 위치 | 동부 | 서부 | 남부 | 북부 | 중부 | 제자리(이동 없음) |\n이후 굴림에서 6이 나오면 파리 떼는 그 자리에 그대로 머문다. (동부 바다·극동의 섬에는 이르지 못한다.)\n- 이미 재앙으로 인해 파리 떼가 있었다면, 파리 떼 토큰을 없애고 베엘제붑 토큰을 배치한다. 베엘제붑 토큰은 매 막이 끝날 때 해당 지역을 소멸시킨다. 베엘제붑 토큰은 소멸로 사라지지 않는다. 소멸된 지역에 머물수도 있다.\n해제: 파리: 빛의사제/성녀가 고유능력으로 처치할 수 있다. 처치했다면 금화를 2 얻는다. 베엘제붑: 성녀가 고유능력으로 처치할 수 있다. 처치했다면 금화를 5 얻는다.
9	소멸	전역	대륙(지역) 하나가 무작위로 사라진다. 사라진 지역에 있던 플레이어는 두근! 포인트를 1 잃고 인접 지역으로 강제 이동한다(두근! 포인트가 없으면 사망 → 악령). 그 지역의 토큰·자원은 함께 소멸한다. 사라진 지역은 복구되지 않고 게임 종료까지 영구히 소멸한다.	세계가 스스로를 지운다 — 소설의 한 페이지가 찢겨나가듯.	NPC 처리: 사라진 지역에 있던 주인공(잔느)은 아카데미(중부)로 강제 이동한다. 남주는 사망한다(그 남주의 만남/약혼 루트 봉쇄).\n상호작용: 멸망 시나리오 및 세계의 진실 축 3(소설 메타)과 연출상 맞닿아 있다.
10	종막	메타	즉시 후반부 운명 카드 더미로 넘어간다. 현재 진행 중인 초·중반부 운명 카드 더미를 치우고, 후반부 시나리오를 시작한다. 엔딩을 향한 시계가 급격히 빨라진다.	막이 오른다. 이야기는 결말을 향해 폭주하기 시작한다.	
